"airbnbId","title","description","priceOriginal","priceCurrent","rating","reviews","guests","rooms","beds","bathrooms","host","favoriteGuestMark"
"1173944260213490538","Vive lo mejor que Santiago tiene para ofrecer","Alojamiento entero: vivienda rentada en Santiago, Chile","$27,174 CLP","$21,739 CLP","4.56","16 reseñas","2 huéspedes","Sin datos de habitaciones","1 cama","1 baño","Andes STR","No"
"1109567227034053094","Cutie Rentapart Santa Lucía","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$19,400 CLP","4.54","28 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Soledad","No"
"1305206074111054180","Studio/Departamento Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$19,000 CLP","5.0","6","2 huéspedes","1 habitación","1 cama","1 baño","Dani","Favorito entre huéspedes"
"1335672462590092115","Oasis Urbano | Estudio en el centro de Santiago","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1238340742401022929","Céntrico y acogedor cerca Movistar Arena","Alojamiento entero: vivienda rentada en Santiago, Chile","$22,500 CLP","$20,250 CLP","4.79","14 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Felipe","No"
"1080652570596589904","Homestudio/Movistar Arena","Alojamiento entero: vivienda rentada en Santiago, Chile","$23,000 CLP","$20,700 CLP","4.97","36","2 huéspedes","1 habitación","1 cama","1 baño","Maria Jesus","Favorito entre huéspedes"
"1313188739592062695","Refugio Urbano | Mall Plaza Egana | Confort y Esti","Alojamiento entero: vivienda rentada en La Reina, Chile","$33,803 CLP","$27,042 CLP","5.0","4 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Andes STR","No"
"1313204073064137178","Acogedor Estudio | La Reina | ¡A Pasos del Mall!","Alojamiento entero: vivienda rentada en La Reina, Chile","$30,416 CLP","$24,333 CLP","Novedad","1 reseña","2 huéspedes","Sin datos de habitaciones","1 cama","1 baño","Andes STR","No"
"1348535284411535611","HT | Espectacular Depto en Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","$34,500 CLP","$31,050 CLP","Novedad","Sin datos","3 huéspedes","1 habitación","2 camas","1 baño","HomeTravellers","No"
"1115343783229544478","Cómodo Studio Metro Plaza Egaña / Ñuñoa","Alojamiento entero: vivienda rentada en Ñuñoa, Chile","$32,240 CLP","$29,016 CLP","4.79","24 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Lucas","No"
"929190840586094239","Departamento Buena Vista","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.62","66 reseñas","2 huéspedes","1 habitación","2 camas","1 baño","Sebastian","No"
"1328122493523186215","Acogedor depto.  equipado cerca del metro","Alojamiento entero: vivienda rentada en San Miguel, Chile","$25,250 CLP","$22,725 CLP","Novedad","1 reseña","2 huéspedes","1 habitación","1 cama","1 baño","Bruno","No"
"718311963568419405","Vista privilegiada al Cerro San Cristóbal","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","Sin datos","Sin datos","4 huéspedes","1 habitación","2 camas","1 baño","Sin datos","No"
"1252838122223402255","Hermoso departamento, Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.9","10 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Sebastian","No"
"19434642","Precioso apartamento en Santa Lucía","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.9","135","2 huéspedes","1 habitación","1 cama","1 baño","Maria José","Favorito entre huéspedes"
"33296626","Grata estadía II en Santiago Centro","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","4.85","46 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","Maria Alejandra","No"
"1264619416876605326","Hermoso Estudio con Estilo y Comodidad","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","Sin datos","5.0","4 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Simply HAUS","No"
"1037891187981289065","Departamento Céntrico","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos","Sin datos de huéspedes","Sin datos de habitaciones","Sin datos de camas","Sin datos de baños","Sin datos","No"
"1050604","Depto Parque Forestal, Santiago","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$20,900 CLP","4.38","192 reseñas","2 huéspedes","1 habitación","1 cama","1 baño","Francisco","No"
"1263295044983804000","HT | Acogedor Departamento a pasos del Metro","Alojamiento entero: vivienda rentada en Santiago, Chile","Sin datos","$27,695 CLP","4.54","13 reseñas","3 huéspedes","1 habitación","2 camas","1 baño","HomeTravellers","No"
"26304509","Cómodo, acogedor y céntrico apartamento Forestal Park 219","Alojamiento entero: vivienda rentada en Recoleta, Chile","$33,203 CLP","$25,740 CLP","4.67","135 reseñas","4 huéspedes","1 habitación","2 camas","1 baño","Oliver","No"
